#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:all_pseudoreferences" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:all_pseudoreferences" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:all_pseudoreferences" spec="beast.evolution.tree.Tree">
#                <trait id="dateTrait.t:all_pseudoreferences" spec="beast.evolution.tree.TraitSet" traitname="date">
#                AN_DNK_COA_EN_012=500,
#AN_DNK_COG_EN_0012=500,
#AN_DNK_COG_EN_0034=500,
#AN_DNK_COG_EN_0056=500,
#AN_DNK_COG_EN_0078=500,
#AN_DNK_COK_EN_0012=500,
#AN_DNK_COK_EN_0034=500,
#AN_DNK_OBM_EN_0012=500,
#AN_DNK_OBM_EN_0034=500,
#AN_DNK_OBM_EN_0056=500,
#AN_DNK_OBM_EN_0078=500,
#AN_DNK_VIB_EN_0012=500,
#AN_DNK_VIB_EN_345=0,
#AN_NLD_KAM_EN_0012=0,
#AN_NLD_KAM_EN_0034=0,
#AN_NLD_ZWO_EN_0012=0,
#MN_CHN_GUA_HS_001=0,
#MN_CHN_GUA_HS_002=0,
#MN_CHN_GUA_HS_003=0,
#MN_CHN_GUA_HS_004=0,
#MN_CHN_GUA_HS_005=0,
#MN_CHN_GUA_HS_006=0,
#MN_CHN_GUA_HS_007=0,
#MN_CHN_GUA_LM_008=0,
#MN_CHN_GUA_LM_009=0,
#MN_CHN_GUA_LM_010=0,
#MN_CMR_DJA_HS_002=0,
#MN_DNK_COZ_PH_001=0,
#MN_DNK_COZ_PH_002=0,
#MN_ECU_QUI_HS_001=0,
#MN_ECU_QUI_HS_002=0,
#MN_ECU_QUI_HS_004=0,
#MN_ECU_QUI_HS_005=0,
#MN_ECU_QUI_HS_006=0,
#MN_ECU_QUI_HS_007=0,
#MN_ECU_TEL_HS_001=0,
#MN_ECU_TEL_HS_002=0,
#MN_ESP_MAL_CG_001=0,
#MN_ESP_MAL_CG_002=0,
#MN_HND_OLA_HS_001=0,
#MN_HND_OLA_HS_002=0,
#MN_HND_OLA_HS_003=0,
#MN_HND_OLA_HS_004=0,
#MN_HND_OLA_HS_005=0,
#MN_HND_OLA_HS_006=0,
#MN_HND_OLA_HS_007=0,
#MN_HND_SAL_HS_001=0,
#MN_UGA_DK_HS_001=0,
#MN_UGA_DK_HS_002=0,
#MN_UGA_DK_HS_003=0,
#MN_UGA_KAB_HS_001=0,
#MN_UGA_KAB_HS_002=0,
#MN_UGA_KAB_HS_003=0,
#MN_UGA_KAB_HS_004=0,
#MN_UGA_KAB_HS_005=0,
#MN_UGA_KAB_HS_006=0,
#MN_UGA_KAB_HS_007=0,
#MN_UGA_KAB_HS_008=0,
#MN_UGA_KAB_HS_009=0                
#                                <taxa id="TaxonSet.all_pseudoreferences" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.all_pseudoreferences"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:all_pseudoreferences" name="distribution" x="@birthRate.t:all_pseudoreferences">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:all_pseudoreferences" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:all_pseudoreferences" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.12" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:all_pseudoreferences" name="distribution">
#            <parameter id="kappa.s:all_pseudoreferences" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="UCMeanRatePrior.c:all_pseudoreferences" name="distribution">
#            <parameter id="ucedMean.c:all_pseudoreferences" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.13" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@all_pseudoreferences" id="treeLikelihood.all_pseudoreferences" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:all_pseudoreferences">
#            <siteModel id="SiteModel.s:all_pseudoreferences" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:all_pseudoreferences" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:all_pseudoreferences" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:all_pseudoreferences" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:all_pseudoreferences" kappa="@kappa.s:all_pseudoreferences" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:all_pseudoreferences" id="estimatedFreqs.s:all_pseudoreferences" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:all_pseudoreferences" id="ExponentialRelaxedClock.c:all_pseudoreferences" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:all_pseudoreferences">
#                <Exponential id="Exponential.c:all_pseudoreferences" name="distr">
#                    <parameter id="UCExpLambda.c:all_pseudoreferences" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="116" id="expRateCategories.c:all_pseudoreferences" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	ucedMean	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
21000	-22462.50332609036	-22002.8487812895	-459.65454480085685	-22002.8487812895	3091.422404491427	-454.2926624275201	8.854972502443898E-4	19.560222541774266	5.849742487729296E-6	3.896251819197887E-6	3.6122891861704464E-11	1.2270434324917163	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
22000	-22464.651150735375	-22006.601746647266	-458.04940408811115	-22006.601746647266	3062.4677820358565	-452.6875217147744	0.0012246139279733167	19.560222541774266	5.9127690576585845E-6	3.967244013260065E-6	3.600836219495452E-11	1.1952858601107679	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
23000	-22457.671205211973	-22000.103228251162	-457.5679769608113	-22000.103228251162	3004.181320492863	-452.2060945874745	0.0010343718454298237	19.560222541774266	5.798821214303847E-6	3.8812328905831135E-6	3.281190514103371E-11	1.1699233978264283	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
24000	-22461.04283241495	-22000.416329964148	-460.62650245080414	-22000.416329964148	3372.5890370615634	-455.2646200774674	0.0011676403011377115	19.560222541774266	5.683411778169065E-6	3.639736463163968E-6	3.020708570375695E-11	1.207242746230428	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
25000	-22469.779409413037	-22008.932963721392	-460.84644569164396	-22008.932963721392	3248.2399739582393	-455.4845633183072	9.960755815330892E-4	19.560222541774266	5.597615302843373E-6	3.6675086242801184E-6	3.02377635771135E-11	1.1975913164888035	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
26000	-22475.13824509462	-22014.798217563453	-460.34002753116636	-22014.798217563453	3136.1145703599036	-455.2770942838216	8.912153260343961E-4	17.095802980908164	5.855214650277578E-6	3.691247185554561E-6	3.4940751867726924E-11	1.2202016736892412	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
27000	-22480.399475804592	-22020.89028178836	-459.50919401623014	-22020.89028178836	3136.5422397586785	-454.4462607688854	0.001331665547875689	17.095802980908164	6.119690637066214E-6	3.900073955889196E-6	3.8833695440849737E-11	1.1775875349146327	0.32485975688700686	0.16712915084137375	0.14477491704080445	0.3632361752308149
28000	-22471.56260593472	-22012.75769309693	-458.80491283779014	-22012.75769309693	2961.217348720588	-453.7419795904454	0.0012326314613160753	17.095802980908164	6.119690637066214E-6	3.697931432128883E-6	3.507498583586513E-11	1.1563908544302326	0.3270257761302644	0.16712915084137375	0.1426088977975469	0.3632361752308149
29000	-22473.777181457433	-22015.21804144946	-458.559140007972	-22015.21804144946	2959.087411239531	-453.4962067606273	0.0011479851172034056	17.095802980908164	6.2372309802545405E-6	3.7419279318758315E-6	3.6620062174038596E-11	1.1680825106415922	0.3270257761302644	0.17249332746069662	0.1426088977975469	0.35787199861149205
30000	-22463.670827235976	-22003.57688689277	-460.09394034320576	-22003.57688689277	2960.8673156058708	-455.031007095861	0.0012818605195351464	17.095802980908164	5.995739336248047E-6	3.681095264997397E-6	3.453626224095324E-11	1.1657600898278975	0.3270257761302644	0.17249332746069662	0.1426088977975469	0.35787199861149205
31000	-22478.648246759414	-22019.494402640878	-459.15384411853813	-22019.494402640878	3086.424182751834	-454.0909108711934	0.0011680230214650659	17.095802980908164	5.995739336248047E-6	3.6034949596559596E-6	3.410171901492917E-11	1.1888677450158274	0.3270257761302644	0.17249332746069662	0.1426088977975469	0.35787199861149205
32000	-22458.08199749729	-21999.408589129307	-458.6734083679822	-21999.408589129307	3039.9939233695027	-453.61047512063743	0.0010814167355472288	17.095802980908164	5.945367745604346E-6	3.75944945132258E-6	3.946839898149902E-11	1.2282941832949945	0.3226066643876274	0.17249332746069662	0.1470280095401839	0.35787199861149205
33000	-22474.19512779511	-22013.251509028312	-460.94361876679534	-22013.251509028312	3040.52429032468	-455.8806855194506	8.893979951369546E-4	17.095802980908164	5.877720751881983E-6	3.788536251609929E-6	3.937368031786913E-11	1.2173130111625494	0.3226066643876274	0.17249332746069662	0.1470280095401839	0.35787199861149205
34000	-22477.320483301584	-22017.068668860564	-460.25181444102174	-22017.068668860564	3075.7961634132084	-455.188881193677	9.863948677435788E-4	17.095802980908164	5.695849211772031E-6	3.6538686042102216E-6	3.481111937214476E-11	1.213752202036336	0.3226066643876274	0.17249332746069662	0.1470280095401839	0.35787199861149205
35000	-22457.631387368943	-21998.308854642746	-459.32253272619636	-21998.308854642746	3072.933465552586	-454.2595994788516	0.0011612592937121347	17.095802980908164	5.704007418245545E-6	3.7180793877945236E-6	3.1283969985371846E-11	1.2150726899452626	0.3313746308068687	0.17249332746069662	0.1470280095401839	0.3491040321922508
36000	-22469.294893227667	-22009.473498851516	-459.82139437615064	-22009.473498851516	3119.3270775461474	-454.7584611288059	0.0011071762221911599	17.095802980908164	5.886192782272492E-6	3.733221555513758E-6	3.192070226474244E-11	1.1690557937524524	0.3313746308068687	0.17249332746069662	0.1470280095401839	0.3491040321922508
37000	-22382.95095949732	-21921.859474342382	-461.0914851549371	-21921.859474342382	3097.2949577111435	-455.6116969640073	0.0012469406271848685	20.59854460073405	4.862292018560944E-6	3.5018104397330477E-6	2.438925636611005E-11	1.146814064674176	0.3313746308068687	0.17293532498443306	0.1470280095401839	0.3486620346685143
38000	-22252.68176489924	-21791.58258362471	-461.09918127453125	-21791.58258362471	3098.70026680809	-455.61939308360144	9.957607290002406E-4	20.59854460073405	5.797789297393655E-6	3.2927409403119975E-6	3.3052110228030076E-11	1.163288470108358	0.3313746308068687	0.17293532498443306	0.1470280095401839	0.3486620346685143
39000	-22237.78879862051	-21776.29816179843	-461.4906368220793	-21776.29816179843	3373.1947321384205	-456.0108486311495	0.00115214069210835	20.59854460073405	5.706095493612296E-6	3.245327392754013E-6	2.871086734484132E-11	1.145119801101129	0.3326245225052424	0.17168543328605934	0.1470280095401839	0.3486620346685143
40000	-22211.476950812583	-21750.94760994384	-460.52934086874313	-21750.94760994384	3356.587663706873	-455.0495526778133	9.740071795574523E-4	20.59854460073405	5.775706843808802E-6	3.3360726080881015E-6	2.912920250970081E-11	1.152510022048159	0.3326245225052424	0.17069469080817437	0.14801875201806888	0.3486620346685143
41000	-22224.53291254313	-21760.88338660985	-463.64952593327996	-21760.88338660985	3560.720942537252	-458.1697377423502	0.001290393124288676	20.59854460073405	5.998885383062248E-6	3.386927971722647E-6	2.953099879757709E-11	1.1352330703568128	0.3326245225052424	0.17069469080817437	0.14801875201806888	0.3486620346685143
42000	-22213.91654744789	-21749.055288364834	-464.86125908305667	-21749.055288364834	3783.2987748103424	-459.38147089212686	7.748057929424244E-4	20.59854460073405	5.698476491075422E-6	3.2981392438304366E-6	2.5973128194984673E-11	1.1153935343657797	0.3326245225052424	0.17069469080817437	0.14801875201806888	0.3486620346685143
